# accelerator: mumu10tev, parameters: pairs10tev, skip_base: 2
# columns: chain, event, n_stored, lumi_m2, n_pt_0.015, n_pt_1.4
1 1 564876 2.81696e+35 7055 0
1 2 561241 2.80173e+35 7087 0
1 3 568221 2.81941e+35 7024 0
1 4 567028 2.8271e+35 7048 2
1 5 564212 2.81845e+35 7053 1
1 6 565353 2.81729e+35 7131 1
1 7 572886 2.85522e+35 7072 1
1 8 562284 2.8063e+35 7120 2
1 9 565772 2.83333e+35 7253 5
1 10 566795 2.82706e+35 7191 0
1 11 567175 2.82805e+35 7236 1
1 12 567864 2.831e+35 7360 1
1 13 562638 2.80145e+35 7070 2
1 14 562158 2.81825e+35 7006 4
1 15 562413 2.81013e+35 7305 1
1 16 564357 2.82283e+35 7136 1
1 17 566102 2.82161e+35 7145 4
1 18 563701 2.80283e+35 6952 4
1 19 565892 2.83339e+35 7262 2
1 20 566621 2.81966e+35 7008 1
1 21 563996 2.81767e+35 7262 2
1 22 565319 2.81552e+35 7266 4
2 1 564733 2.81642e+35 7162 0
2 2 566651 2.83227e+35 7249 0
2 3 559881 2.80498e+35 7165 1
2 4 573958 2.84539e+35 7154 3
2 5 562111 2.81632e+35 6980 1
2 6 560992 2.80427e+35 7132 0
2 7 558411 2.78913e+35 6911 3
2 8 562252 2.80706e+35 7282 3
2 9 567372 2.82579e+35 6953 1
2 10 561324 2.79605e+35 6919 3
2 11 562838 2.81375e+35 7063 0
2 12 569649 2.83265e+35 7098 1
2 13 560442 2.79395e+35 7075 0
2 14 562564 2.81284e+35 7212 1
2 15 568401 2.82763e+35 7272 1
2 16 568159 2.82932e+35 7218 2
2 17 564316 2.80838e+35 7212 0
2 18 570916 2.84263e+35 7192 0
2 19 571205 2.83848e+35 7253 0
2 20 566016 2.82867e+35 7120 0
2 21 564876 2.82375e+35 6928 2
2 22 567366 2.82996e+35 7252 1
3 1 561390 2.79304e+35 7253 0
3 2 559581 2.79364e+35 7080 1
3 3 559645 2.80051e+35 6929 4
3 4 563954 2.79964e+35 6954 2
3 5 566150 2.81345e+35 6998 3
3 6 562563 2.80634e+35 7208 3
3 7 564744 2.8154e+35 7131 4
3 8 562201 2.80843e+35 7117 1
3 9 562327 2.79881e+35 7193 2
3 10 565436 2.83258e+35 7153 2
3 11 565717 2.8163e+35 7168 0
3 12 569701 2.83271e+35 6972 2
3 13 568610 2.82431e+35 7367 3
3 14 558697 2.80144e+35 7106 0
3 15 564602 2.81996e+35 7228 1
3 16 567141 2.82695e+35 7389 0
3 17 562298 2.80663e+35 7151 3
3 18 562347 2.80558e+35 6998 1
3 19 564989 2.81751e+35 7061 2
3 20 564359 2.81852e+35 7186 1
3 21 562724 2.80794e+35 7071 0
3 22 562161 2.80855e+35 7135 1
4 1 561551 2.79855e+35 6995 1
4 2 565067 2.81585e+35 7058 3
4 3 564466 2.81672e+35 7149 2
4 4 564419 2.81832e+35 7334 2
4 5 567957 2.83687e+35 7251 2
4 6 563660 2.81477e+35 7100 2
4 7 563967 2.81122e+35 7053 0
4 8 566539 2.83079e+35 7246 2
4 9 567087 2.82176e+35 7141 1
4 10 567247 2.82633e+35 7205 0
4 11 573449 2.85446e+35 7326 1
4 12 565505 2.82423e+35 7181 1
4 13 569253 2.83632e+35 7304 1
4 14 565297 2.81818e+35 7069 1
4 15 563921 2.79968e+35 6975 1
4 16 565148 2.81513e+35 7219 2
4 17 564538 2.82285e+35 7161 3
4 18 561072 2.81413e+35 7176 1
4 19 570396 2.83228e+35 7063 0
4 20 565939 2.81126e+35 7221 0
4 21 566649 2.82336e+35 7148 3
4 22 568055 2.82656e+35 7271 3
